Title,Author,Narrator,Runtime,Release Date,Language
Junkyard Riders,Faith Hunter,Khristine Hvam,Length: 4 hrs and 46 mins,"Release date:
                                    01-20-26
                                  ","Language:
                                      English
                                    "
Heart of a Goon,Jahquel J.,Wesleigh Siobhan,Length: 10 hrs,"Release date:
                                    03-24-26
                                  ","Language:
                                      English
                                    "
System Clash,SunriseCV,Adam Verner,Length: 25 hrs and 27 mins,"Release date:
                                    01-14-26
                                  ","Language:
                                      English
                                    "
"Classroom of the Elite: Year 2, Vol. 12",Syougo Kinugasa,Zion Jang,Length: 9 hrs and 23 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
A Parade of Horribles,Matt Dinniman,Jeff Hays,Length: Not Yet Known,"Release date:
                                    05-12-26
                                  ","Language:
                                      English
                                    "
Dark Island Revolt,I. T. Lucas,Charles Lawrence,Length: 9 hrs and 57 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Ground State,Craig Alanson,R.C. Bray,Length: 20 hrs and 33 mins,"Release date:
                                    01-27-26
                                  ","Language:
                                      English
                                    "
The Path of Ascension Book 10.5,C. Mantis,J.S. Arquin,Length: 4 hrs and 43 mins,"Release date:
                                    01-21-26
                                  ","Language:
                                      English
                                    "
The Fourth Option,"Jack Carr,M.P. Woodward",,Length: 11 hrs,"Release date:
                                    05-12-26
                                  ","Language:
                                      English
                                    "
SEAL Team Hawaii Box Set 1: Books 1-4,Susan Stoker,Emma Wilder,Length: 38 hrs and 18 mins,"Release date:
                                    01-06-26
                                  ","Language:
                                      English
                                    "
Cómo Abrazar a un Puercoespín,Sean Smith,Martha Adriana Juárez,Length: 1 hr and 24 mins,"Release date:
                                    12-23-25
                                  ","Language:
                                      Spanish
                                    "
Defiance of the Fall 16,"TheFirstDefier,JF Brink",Pavi Proczko,Length: 22 hrs and 17 mins,"Release date:
                                    12-23-25
                                  ","Language:
                                      English
                                    "
Settle,"Sean Oswald,Joshua Mason - editor",Giancarlo Herrera,Length: 17 hrs and 54 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
"Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs, Vol. 8",Yomu Mishima,Yung-I Chang,Length: 9 hrs and 37 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Rites of the Starling,"Devney Perry,Michelle Gyo,Kerstin Fricke",Dagmar Bittner,Length: 18 hrs,"Release date:
                                    09-14-26
                                  ","Language:
                                      German
                                    "
My Favorite Sin,Skyla Summers,Heather Firth,Length: 10 hrs and 15 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Proportional Response,M. Tress,Jack Smith,Length: 15 hrs and 36 mins,"Release date:
                                    12-29-25
                                  ","Language:
                                      English
                                    "
Dark Age (Part 2 of 3) (Dramatized Adaptation),Pierce Brown,full cast,Length: 11 hrs and 5 mins,"Release date:
                                    01-09-26
                                  ","Language:
                                      English
                                    "
The Stepson,D.L. Fisher,Jessica Preddy,Length: 8 hrs and 1 min,"Release date:
                                    12-11-25
                                  ","Language:
                                      English
                                    "
The First Dragon,Kevin Mcdowell,Shayna Elliott,Length: 1 hr and 56 mins,"Release date:
                                    11-25-25
                                  ","Language:
                                      English
                                    "
Wilder in Love,Charlie Cochet,Greg Boudreaux,Length: 2 hrs and 24 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
The Primal Hunter 13,Zogarth,Travis Baldree,Length: 20 hrs and 10 mins,"Release date:
                                    01-07-26
                                  ","Language:
                                      English
                                    "
Hard Feelings,Jennifer Millikin,Wesley Mercer,Length: 10 hrs and 16 mins,"Release date:
                                    01-08-26
                                  ","Language:
                                      English
                                    "
Insurgent,"Brian Andrews,Jeffrey Wilson",,Length: 12 hrs,"Release date:
                                    07-21-26
                                  ","Language:
                                      English
                                    "
Deadliest Desire,Nikki Ash,Gideon Frost,Length: 9 hrs and 40 mins,"Release date:
                                    01-08-26
                                  ","Language:
                                      English
                                    "
Guarded King,L. M. Dalgleish,Connor Crais,Length: 14 hrs and 1 min,"Release date:
                                    01-05-26
                                  ","Language:
                                      English
                                    "
Detective Dog,Stacy Kelly,Brennan Murphy,Length: 5 hrs and 7 mins,"Release date:
                                    12-31-25
                                  ","Language:
                                      English
                                    "
The Hard Line,Mark Greaney,,Length: Not Yet Known,"Release date:
                                    02-17-26
                                  ","Language:
                                      English
                                    "
The Improbable Meet-Cute: Second Chances,"Christina Lauren,Hannah Bonam-Young,Julie Soto,Trilina Pucci,Catherine Cowles,Navessa Allen",Dominique Salvacion,Length: 11 hrs and 59 mins,"Release date:
                                    01-20-26
                                  ","Language:
                                      English
                                    "
Stripped Down,Bunnie Xo,Bunnie Xo,Length: 8 hrs and 25 mins,"Release date:
                                    02-17-26
                                  ","Language:
                                      English
                                    "
Just Breaking the Rules,Lauren Blakely,Samantha Brentmoor,Length: 12 hrs and 16 mins,"Release date:
                                    01-21-26
                                  ","Language:
                                      English
                                    "
My First Mistake,Sadie Kincaid,Mollie Stark,Length: 5 hrs and 24 mins,"Release date:
                                    12-17-25
                                  ","Language:
                                      English
                                    "
