Title,Author,Runtime,Release Date,Language
The Four Agreements,"By: Don Miguel Ruiz, Janet Mills",Length: 2 hrs and 31 mins,Release date: 01-06-26,Language: English
The Burnt-Out & Regulated Bitch,By: Gwen Taylor,Length: 9 hrs and 17 mins,Release date: 01-05-26,Language: English
He's a Mean One,By: Lani Lynn Vale,Length: 6 hrs and 11 mins,Release date: 01-05-26,Language: English
Heart of a Goon,By: Jahquel J.,Length: 10 hrs,Release date: 03-24-26,Language: English
Night Meets the Elf Queen,By: J.M. Kearl,Length: 20 hrs and 45 mins,Release date: 01-05-26,Language: English
Junkyard Riders,By: Faith Hunter,Length: 4 hrs and 46 mins,Release date: 01-20-26,Language: English
The Primal Hunter 13,By: Zogarth,Length: 20 hrs and 10 mins,Release date: 01-07-26,Language: English
Guarded King,By: L. M. Dalgleish,Length: 14 hrs and 1 min,Release date: 01-05-26,Language: English
Green-Eyed Monster,By: Rawnie Sabor,Length: 21 hrs and 11 mins,Release date: 01-05-26,Language: English
System Clash,By: SunriseCV,Length: 25 hrs and 27 mins,Release date: 01-14-26,Language: English
Forged in Stillness,"By: J.N. Chaney, Terry Maggert",Length: 9 hrs and 58 mins,Release date: 03-03-26,Language: English
Until I Die,By: Deidra Duncan,Length: 14 hrs and 50 mins,Release date: 01-05-26,Language: English
Homeschooled,By: Stefan Merrill Block,Length: 7 hrs and 9 mins,Release date: 01-06-26,Language: English
Creed,By: Lora Nox,Length: 12 hrs and 22 mins,Release date: 01-06-26,Language: English
The Shop on Hidden Lane,By: Jayne Ann Krentz,Length: 8 hrs and 42 mins,Release date: 01-06-26,Language: English
A Parade of Horribles,By: Matt Dinniman,Length: Not Yet Known,Release date: 05-12-26,Language: English
Firestorm,By: Jacob Soboroff,Length: 6 hrs and 24 mins,Release date: 01-06-26,Language: English
A Cowboy Holiday,By: Lane Hayes,Length: 3 hrs and 59 mins,Release date: 01-05-26,Language: English
Wolves Among the Stars,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 45 mins,Release date: 01-06-26,Language: English
Ground State,By: Craig Alanson,Length: 20 hrs and 33 mins,Release date: 01-27-26,Language: English
Ultimate Level 1: Divine Creation,By: Shawn Wilson,Length: 21 hrs and 22 mins,Release date: 01-06-26,Language: English
Second Chance Swordsman 5,By: Jakob Tanner,Length: 12 hrs and 47 mins,Release date: 01-05-26,Language: English
My Favorite Sin,By: Skyla Summers,Length: 10 hrs and 15 mins,Release date: 01-07-26,Language: English
You Are Summoned 4,By: Dean Henegar,Length: 13 hrs and 26 mins,Release date: 01-06-26,Language: English
