Title,Author,Runtime,Release Date,Language
Python Programming for Beginners,By: Dr. Philomena Ogoh,Length: 4 hrs and 20 mins,Release date: 03-08-24,Language: English
Learn Python Quickly,By: Code Quickly,Length: 6 hrs and 44 mins,Release date: 05-07-20,Language: English
Introducing Python (2nd Edition),By: Bill Lubanovic,Length: 13 hrs and 3 mins,Release date: 05-09-23,Language: English
Algorithms to Live By,"By: Brian Christian, Tom Griffiths",Length: 11 hrs and 50 mins,Release date: 04-19-16,Language: English
Deep Learning with Python (Third Edition),"By: Francois Chollet, Matthew Watson",Length: 21 hrs and 38 mins,Release date: 11-17-25,Language: English
"Python for Absolute Beginners: A Step by Step Guide to Learn Python Programming from Scratch, with Practical Coding Examples and Exercises",By: Andrew Warner,Length: 3 hrs and 50 mins,Release date: 04-09-25,Language: English
Python Essentials for Dummies,"By: John C. Shovic PhD, Alan Simpson",Length: 5 hrs and 27 mins,Release date: 05-28-24,Language: English
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition","By: David Thomas, Andrew Hunt",Length: 9 hrs and 55 mins,Release date: 12-26-19,Language: English
Designing Data-Intensive Applications,By: Martin Kleppmann,Length: 20 hrs and 56 mins,Release date: 02-05-21,Language: English
Python Programming Language (2025),By: Nexcod Publishing,Length: 7 hrs and 35 mins,Release date: 11-17-25,Language: English
Mastering Python for AI in 5 Days,By: Michael Goedeker,Length: 5 hrs and 25 mins,Release date: 04-08-25,Language: English
Python for Beginners,By: Paul Richard,Length: 3 hrs and 10 mins,Release date: 04-25-25,Language: English
Python: 2 Books in 1,By: Steve Geddis,Length: 6 hrs and 28 mins,Release date: 10-30-20,Language: English
The Ethical Hacking Book for Beginners,By: Ramon Nastase,Length: 2 hrs and 44 mins,Release date: 03-17-25,Language: English
Python Coding Mastery,"By: Barrett Williams, ChatGPT ChatGPT",Length: 4 hrs and 12 mins,Release date: 04-21-24,Language: English
Clean Code,By: Robert C. Martin,Length: 5 hrs and 49 mins,Release date: 02-27-21,Language: English
"""Python for Absolut Beginners""",By: DENVER GEIGER,Length: 4 hrs and 8 mins,Release date: 07-25-25,Language: English
Python para Principiantes,By: Programming Languages Academy,Length: 5 hrs and 46 mins,Release date: 03-27-25,Language: Spanish
Aprende a Programar en Python Para Principiantes [Learn to Program in Python for Beginners],By: Flynn Fisher,Length: 2 hrs and 29 mins,Release date: 01-12-21,Language: Spanish
Hello Bot,By: Ajit Singh,Length: 10 hrs and 49 mins,Release date: 11-28-25,Language: English
