Date,Home Team,Score,Away Team
04-01-2026,Birmingham,3 - 2,Coventry
01-01-2026,Watford,3 - 0,Birmingham
29-12-2025,Birmingham,1 - 1,Southampton
26-12-2025,Birmingham,1 - 1,Derby
20-12-2025,Sheffield United,3 - 0,Birmingham
13-12-2025,Birmingham,1 - 1,Charlton
09-12-2025,QPR,2 - 1,Birmingham
06-12-2025,Southampton,3 - 1,Birmingham
01-12-2025,Birmingham,2 - 1,Watford
26-11-2025,West Brom,1 - 1,Birmingham
22-11-2025,Birmingham,4 - 1,Norwich
08-11-2025,Middlesbrough,2 - 1,Birmingham
04-11-2025,Birmingham,4 - 0,Millwall
01-11-2025,Birmingham,4 - 0,Portsmouth
25-10-2025,Bristol City,1 - 0,Birmingham
21-10-2025,Preston,0 - 1,Birmingham
18-10-2025,Birmingham,2 - 3,Hull
03-10-2025,Wrexham,1 - 1,Birmingham
30-09-2025,Birmingham,2 - 2,Sheffield Weds
27-09-2025,Coventry,3 - 0,Birmingham
20-09-2025,Birmingham,1 - 0,Swansea
13-09-2025,Stoke,1 - 0,Birmingham
29-08-2025,Leicester,2 - 0,Birmingham
23-08-2025,Birmingham,1 - 0,Oxford
16-08-2025,Blackburn,1 - 2,Birmingham
08-08-2025,Birmingham,1 - 1,Ipswich
04-01-2026,Blackburn,2 - 2,Charlton
01-01-2026,Blackburn,0 - 2,Wrexham
29-12-2025,Sheffield Weds,0 - 0,Blackburn
26-12-2025,Middlesbrough,0 - 0,Blackburn
20-12-2025,Blackburn,2 - 0,Millwall
13-12-2025,Portsmouth,2 - 1,Blackburn
09-12-2025,Blackburn,1 - 1,Oxford
02-12-2025,Blackburn,1 - 1,Ipswich
29-11-2025,Wrexham,1 - 1,Blackburn
26-11-2025,Blackburn,0 - 1,QPR
21-11-2025,Preston,1 - 2,Blackburn
08-11-2025,Blackburn,1 - 2,Derby
04-11-2025,Bristol City,0 - 1,Blackburn
01-11-2025,Leicester,0 - 2,Blackburn
25-10-2025,Blackburn,2 - 1,Southampton
21-10-2025,Blackburn,1 - 3,Sheffield United
18-10-2025,Coventry,2 - 0,Blackburn
04-10-2025,Blackburn,1 - 1,Stoke
30-09-2025,Blackburn,1 - 2,Swansea
27-09-2025,Charlton,3 - 0,Blackburn
13-09-2025,Watford,0 - 1,Blackburn
30-08-2025,Blackburn,0 - 2,Norwich
